spatial_range,spatial_extent,temporal_range,temporal_extent,process_graph_path,process_graph_id,status,id,start_time,running_time,cpu (cpu-seconds),memory (mb-seconds),duration (seconds),backend_name,input_pixel (mega-pixel),max_executor_memory (gb),network_received (b),job_cost (credits)
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240726c52d5143e69b5176d80d27a993,2024-07-26T07:22:06.680591Z,,143.900064756,657804.146484375,99.0,cdse,48.0,1.8192939758300781,3425154585.0,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240726b1779240f4bec48fe940515a44,2024-07-26T07:22:25.241338Z,,291.39531041199996,1653677.466796875,141.0,cdse,108.0,1.9340896606445312,12427506469.0,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-24072606eb5246dcbe7d7ab454d627e0,2024-07-26T07:22:46.781821Z,2024-07-26T07:27:11.631647Z,563.806668609,3295708.4863281245,210.0,cdse,200.0,2.072429656982422,30464086640.0,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-24072676450d4d879bbe74d79d0a2e35,2024-07-26T07:23:10.848646Z,,249.30967990000002,1046604.19921875,135.0,cdse,192.0,2.1693038940429688,14503925324.0,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-24072667a85540aaa85948a81e1796c5,2024-07-26T07:23:32.803537Z,,482.848167989,2323800.56640625,190.0,cdse,432.0,2.1947555541992188,25762660244.0,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240726c3ef9d4bdabbe1c553deca6d25,2024-07-26T07:23:54.162474Z,2024-07-26T07:27:39.136979Z,1083.849418831,6102853.060546873,290.0,cdse,800.0,2.2593345642089844,61186135034.0,3.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-2407260b2a894bf5ae02ceb36dcff7b1,2024-07-26T07:24:14.256854Z,2024-07-26T07:27:39.816019Z,716.499798501,4877372.4375,380.0,cdse,772.0,2.6038856506347656,36437198524.0,3.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-2407265f4c764afd8f408af690b188e3,2024-07-26T07:24:35.344022Z,2024-07-26T07:27:40.098688Z,1582.426460549,8644315.507114954,498.0,cdse,1732.0,3.3820762634277344,73590260942.0,4.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-24072616b81f4523a72c4c6f1f70b54e,2024-07-26T07:24:54.695678Z,2024-07-26T07:27:43.180669Z,2795.330735729,18289653.683779765,544.0,cdse,3216.0,3.940319061279297,150584091510.0,7.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-24072630d51a4460a343a82db63d1232,2024-07-26T07:25:20.840217Z,2024-07-26T07:27:43.418967Z,156.327779086,787168.796875,204.0,cdse,48.0,1.9414787292480469,6634742376.0,2.0
