spatial_range,spatial_extent,temporal_range,temporal_extent,process_graph_path,process_graph_id,status,id,start_time,running_time,cpu,memory,duration,backend_name,network_received,input_pixel,max_executor_memory,job_cost
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,error,j-240724a7ba134d199a05b63567afff0e,2024-07-24T12:46:49.719646Z,,31.183302096 cpu-seconds,68021.421875 mb-seconds,92 seconds,cdse,11850 b,,,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724de080648438c4a5a3ade8ecb10,2024-07-24T12:47:25.119769Z,2024-07-24T12:57:05.857564Z,336.542049394 cpu-seconds,4196615.71875 mb-seconds,728 seconds,cdse,20938566742 b,50 mega-pixel,2.0558090209960938 gb,3.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-24072478759b423996e1f0d5f9f37ee0,2024-07-24T12:47:49.710750Z,2024-07-24T12:53:05.252452Z,470.08451788099995 cpu-seconds,3159752.0654296875 mb-seconds,493 seconds,cdse,26581606397 b,108 mega-pixel,2.0613937377929688 gb,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-2407247bb827485aa294fddf0ec72d61,2024-07-24T12:48:29.393608Z,2024-07-24T13:00:35.998100Z,591.864895811 cpu-seconds,15058255.76841518 mb-seconds,879 seconds,cdse,34261161163 b,200 mega-pixel,2.15643310546875 gb,6.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-24072429f5d24601af53b68b8fa3dd9e,2024-07-24T12:49:07.722785Z,2024-07-24T13:00:38.600177Z,662.506568341 cpu-seconds,8437085.723144531 mb-seconds,861 seconds,cdse,29105081315 b,432 mega-pixel,2.4035606384277344 gb,4.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724e5fcb14a3aaa14cf231fad4143,2024-07-24T12:49:34.359843Z,2024-07-24T12:57:10.755660Z,1488.447731406 cpu-seconds,22389219.579959758 mb-seconds,1046 seconds,cdse,65262204333 b,800 mega-pixel,2.2152099609375 gb,8.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-24072414ca0a43aebf7a1b09564b405b,2024-07-24T12:49:53.923386Z,2024-07-24T13:00:43.176739Z,218.98519481099999 cpu-seconds,4716951.200520834 mb-seconds,746 seconds,cdse,7599426677 b,27 mega-pixel,2.052936553955078 gb,3.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-2407241807aa4985b53102b31547d90a,2024-07-24T12:50:17.935375Z,2024-07-24T12:53:09.025429Z,516.6079702530001 cpu-seconds,2418581.1593750003 mb-seconds,328 seconds,cdse,23403370529 b,50 mega-pixel,2.0954055786132812 gb,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,error,j-2407242043614b8b9ec67e0e28483269,2024-07-24T12:50:41.956007Z,,31.791450954 cpu-seconds,29050.46875 mb-seconds,40 seconds,cdse,1774 b,,,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724afab474afe89091f3832147bd6,2024-07-24T12:51:08.505457Z,2024-07-24T12:58:57.872967Z,893.2886813079999 cpu-seconds,11821203.185677083 mb-seconds,778 seconds,cdse,39554677619 b,200 mega-pixel,2.0733070373535156 gb,5.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-24072445381e41d79b24496a63631511,2024-07-24T12:53:09.971470Z,2024-07-24T12:57:21.884908Z,731.597474915 cpu-seconds,4810409.662388393 mb-seconds,570 seconds,cdse,33742791451 b,432 mega-pixel,2.6609344482421875 gb,3.0
