spatial_range,spatial_extent,temporal_range,temporal_extent,process_graph_path,process_graph_id,status,id,start_time,running_time,cpu,memory,duration,backend_name,input_pixel,max_executor_memory,network_received,job_cost
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724c9666b4acb90cf6a69aa6886aa,2024-07-24T14:02:28.610960Z,,132.806743534 cpu-seconds,657257.546875 mb-seconds,94 seconds,cdse,48 mega-pixel,1.8497543334960938 gb,2692728446 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,error,j-2407249cb29b438cac3e00fddde004ba,2024-07-24T14:03:59.237817Z,,5400 cpu-seconds,11059200 mb-seconds,32 seconds,cdse,,,,6.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,error,j-240724fbf3f04c448f288d8815445154,2024-07-24T14:04:30.415184Z,,5400 cpu-seconds,11059200 mb-seconds,34 seconds,cdse,,,,6.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724f045ec46939ab68ae90d067be8,2024-07-24T14:04:59.362181Z,,228.287840314 cpu-seconds,1084180.84765625 mb-seconds,109 seconds,cdse,192 mega-pixel,1.9853248596191406 gb,8791854041 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-2407246af813439fbc74fe09af266c04,2024-07-24T14:05:36.759814Z,,634.136394355 cpu-seconds,4284622.890625 mb-seconds,187 seconds,cdse,432 mega-pixel,2.1447982788085938 gb,22747149008 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724d434a245888cb6886fa451132f,2024-07-24T14:07:15.512286Z,,1111.8687584820002 cpu-seconds,6037146.286458334 mb-seconds,211 seconds,cdse,800 mega-pixel,2.3079566955566406 gb,53668227722 b,3.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-2407249170fd4da29ebb6b15e11e5962,2024-07-24T14:07:58.181369Z,,718.300384642 cpu-seconds,3958729.831054688 mb-seconds,189 seconds,cdse,772 mega-pixel,2.473876953125 gb,25266344861 b,3.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724046f7c4596b7f3b44c5c99f44c,2024-07-24T14:08:48.516263Z,2024-07-24T14:13:06.572293Z,1666.3641072260002 cpu-seconds,10254668.947916666 mb-seconds,268 seconds,cdse,1732 mega-pixel,2.7589187622070312 gb,75111146004 b,4.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724688d88445bb7e6ae9ff05a5a36,2024-07-24T14:09:24.802809Z,2024-07-24T14:13:10.425604Z,2767.227428075 cpu-seconds,13113812.706445316 mb-seconds,337 seconds,cdse,3216 mega-pixel,3.1126708984375 gb,146366680408 b,6.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-24072428d5a24cac926520e460cf59c8,2024-07-24T14:10:00.454792Z,2024-07-24T14:13:11.482765Z,188.538003611 cpu-seconds,1019359.8971354166 mb-seconds,134 seconds,cdse,48 mega-pixel,1.5791435241699219 gb,3427118591 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,error,j-24072426cd9c454bbe9453b2cc451509,2024-07-24T14:13:13.209863Z,,5400 cpu-seconds,11059200 mb-seconds,34 seconds,cdse,,,,6.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724e377184563b7d2ec826f9ec9dd,2024-07-24T14:13:49.493230Z,,555.452372821 cpu-seconds,4239645.76953125 mb-seconds,159 seconds,cdse,200 mega-pixel,1.9816665649414062 gb,24432231023 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724e961494023add0ef4ffdc80435,2024-07-24T14:14:16.687278Z,,299.66750142 cpu-seconds,1931873.5546875 mb-seconds,135 seconds,cdse,192 mega-pixel,1.8400230407714844 gb,7913692462 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724c1dd1d416b8d1ae301699bea31,2024-07-24T14:14:35.225988Z,,640.4651461659998 cpu-seconds,4297133.686197916 mb-seconds,154 seconds,cdse,432 mega-pixel,2.6131324768066406 gb,25388350720 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,error,j-2407248a339346b0ac64108540cd7143,2024-07-24T14:14:58.526906Z,,7.92897941 cpu-seconds,357.62890625 mb-seconds,41 seconds,cdse,,,180 b,2.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724124aa94f71809e7e777fe09543,2024-07-24T14:15:26.806022Z,2024-07-24T14:19:06.185713Z,750.3806319629999 cpu-seconds,4434517.755208334 mb-seconds,184 seconds,cdse,772 mega-pixel,2.3673171997070312 gb,26432082527 b,3.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724b023a441d28407f7af3cef628f,2024-07-24T14:15:50.621788Z,2024-07-24T14:19:06.345870Z,1432.500044792 cpu-seconds,7991969.067057291 mb-seconds,226 seconds,cdse,1732 mega-pixel,2.5448570251464844 gb,71529719213 b,4.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724ee29c54efb95097d9bca57f471,2024-07-24T14:19:06.631002Z,2024-07-24T14:23:16.209871Z,2770.3212582599995 cpu-seconds,12706917.571093751 mb-seconds,318 seconds,cdse,3216 mega-pixel,3.314319610595703 gb,142803488342 b,6.0
